iter	Logloss
308	0.2570090556
309	0.2568287428
310	0.2566492456
311	0.2564898036
312	0.2562367403
313	0.2559355789
314	0.2557105616
315	0.255452453
316	0.2552561231
317	0.2549754677
318	0.2548189953
319	0.2546857059
320	0.2544257973
321	0.2541819542
322	0.2539852849
323	0.2538022411
324	0.2535196425
325	0.2533297731
326	0.2530622557
327	0.2529065595
328	0.2526641157
329	0.2524948396
330	0.2521945838
331	0.2520084852
332	0.2519044138
333	0.2517509675
334	0.2516104878
335	0.2513537275
336	0.2512108222
337	0.2509577591
338	0.2506968128
339	0.2505302816
340	0.2503504973
341	0.2501200287
342	0.2499351794
343	0.2497167934
344	0.2494751066
345	0.249297129
346	0.2490538889
347	0.2489028108
348	0.248809922
349	0.24869394
350	0.2485196937
351	0.2483882185
352	0.2481915035
353	0.2480493611
354	0.2478104975
355	0.2476182566
356	0.2473794263
357	0.2471714675
358	0.2469572131
359	0.2467932387
360	0.2466233954
361	0.2463925157
362	0.2462061763
363	0.2460667575
364	0.2457349788
365	0.2454930256
366	0.2453893546
367	0.2452303664
368	0.2450649749
369	0.2448807723
370	0.2447882421
371	0.244612054
372	0.2444178016
373	0.2442712322
374	0.2441572665
375	0.2440365207
376	0.2438808442
377	0.243748461
378	0.2435832262
379	0.2433457441
380	0.2432142268
381	0.2430733482
382	0.2429455518
383	0.2427988609
384	0.2426262411
385	0.2425245253
386	0.2424112314
387	0.2421662354
388	0.2420561116
389	0.2417904225
390	0.2416546166
391	0.2415164755
392	0.2413096396
393	0.2411150253
394	0.2409756464
395	0.2407972203
396	0.2405695458
397	0.2403937478
398	0.2400989421
399	0.2400239795
400	0.239872568
401	0.2396831997
402	0.2395155999
403	0.2393734111
404	0.2392412399
405	0.2389951545
406	0.2388035544
407	0.2386482817
408	0.2384995776
409	0.2383401813
410	0.2381218449
411	0.2379110412
412	0.2377620818
413	0.2376002837
414	0.2374503745
415	0.2373516537
416	0.2372280545
417	0.2370208927
418	0.2368876511
419	0.2366793511
420	0.2364870328
421	0.2363492419
422	0.23610675
423	0.2359731143
424	0.2356544153
425	0.2355374969
426	0.2354054929
427	0.2352280253
428	0.2351476775
429	0.2350271162
430	0.2348719946
431	0.2346847105
432	0.2344803996
433	0.2343499914
434	0.2341385012
435	0.2339752444
436	0.2337288675
437	0.2334639445
438	0.2332832789
439	0.2331534872
440	0.2330259127
441	0.2329027533
442	0.2327473477
443	0.232528544
444	0.232353618
445	0.2321967972
446	0.2320524361
447	0.2318038504
448	0.231636865
449	0.2313984303
450	0.2312712357
451	0.2311145367
452	0.2309518191
453	0.2307852647
454	0.2305752519
455	0.2304587247
456	0.2302435156
457	0.2301338061
458	0.2300327064
459	0.2299226867
460	0.2298395848
461	0.2297436178
462	0.2296296375
463	0.2295335849
464	0.2293095153
465	0.2291543532
466	0.2290212989
467	0.2288490598
468	0.2286846765
469	0.2285623421
470	0.2282871329
471	0.228075409
472	0.2279463929
473	0.2278460288
474	0.2276980949
475	0.2276317118
476	0.2274530223
477	0.2273508343
478	0.2272363065
479	0.2271172224
480	0.227013144
481	0.2268724188
482	0.2267243042
483	0.2266380982
484	0.226545658
485	0.2264439498
486	0.2262504202
487	0.2260102734
488	0.2258510763
489	0.2257446457
490	0.225539401
491	0.2253318101
492	0.2251601724
493	0.2248775047
494	0.2247455351
495	0.2245539244
496	0.2243328543
497	0.2241211862
498	0.2240236754
499	0.2237717537
